,3 mo,6 mo,1 yr,5 yr,10 yr
1965-02-15,3.91,4.0,4.03,4.15,4.22
1965-02-16,3.92,4.0,4.03,4.15,4.21
1965-02-17,3.96,4.02,4.03,4.14,4.21
1965-02-18,3.96,4.02,4.03,4.15,4.21
1965-02-19,3.96,4.04,4.06,4.16,4.22
1965-02-23,3.98,4.03,4.06,4.15,4.21
1965-02-24,4.0,4.04,4.08,4.15,4.22
1965-02-25,4.0,4.05,4.08,4.15,4.21
1965-02-26,3.99,4.04,4.09,4.16,4.22
1965-03-01,3.97,4.03,4.09,4.16,4.22
1965-03-02,3.96,4.03,4.12,4.18,4.24
1965-03-03,3.97,4.02,4.11,4.17,4.23
1965-03-04,3.96,4.01,4.1,4.17,4.22
1965-03-05,3.95,4.01,4.1,4.17,4.23
1965-03-08,3.94,4.0,4.09,4.17,4.23
1965-03-09,3.94,4.01,4.09,4.18,4.23
1965-03-10,3.95,4.02,4.09,4.17,4.23
1965-03-11,3.94,4.0,4.08,4.16,4.22
1965-03-12,3.93,4.0,4.06,4.16,4.22
1965-03-15,3.92,4.0,4.05,4.15,4.21
1965-03-16,3.91,3.98,4.04,4.14,4.21
1965-03-17,3.92,3.98,4.04,4.12,4.2
1965-03-18,3.92,3.98,4.04,4.13,4.2
1965-03-19,3.92,3.99,4.05,4.13,4.2
1965-03-22,3.92,3.99,4.04,4.13,4.19
1965-03-23,3.91,3.98,4.04,4.13,4.19
1965-03-24,3.91,3.98,4.04,4.12,4.18
1965-03-25,3.89,3.98,4.04,4.13,4.19
1965-03-26,3.9,3.98,4.04,4.14,4.2
1965-03-29,3.9,3.99,4.04,4.15,4.2
1965-03-30,3.92,3.99,4.04,4.14,4.2
1965-03-31,3.93,4.0,4.03,4.14,4.2
1965-04-01,3.93,3.99,4.03,4.14,4.2
1965-04-02,3.94,3.99,4.04,4.15,4.2
1965-04-05,3.93,3.99,4.04,4.15,4.2
1965-04-06,3.92,3.97,4.04,4.14,4.2
1965-04-07,3.94,3.99,4.04,4.14,4.2
1965-04-08,3.92,3.97,4.03,4.13,4.19
1965-04-09,3.93,3.99,4.03,4.15,4.2
1965-04-12,3.93,3.99,4.03,4.15,4.2
1965-04-13,3.92,3.99,4.03,4.14,4.2
1965-04-14,3.94,4.0,4.03,4.14,4.19
1965-04-15,3.94,4.01,4.04,4.15,4.2
1965-04-19,3.94,4.01,4.04,4.16,4.21
1965-04-20,3.93,4.0,4.04,4.16,4.21
1965-04-21,3.94,4.0,4.04,4.16,4.21
1965-04-22,3.94,4.0,4.04,4.16,4.21
1965-04-23,3.92,3.99,4.04,4.16,4.21
1965-04-26,3.9,3.98,4.04,4.16,4.21
1965-04-27,3.9,3.98,4.04,4.16,4.21
1965-04-28,3.92,3.97,4.03,4.16,4.21
1965-04-29,3.92,3.98,4.04,4.16,4.21
1965-04-30,3.91,3.97,4.04,4.16,4.21
1965-05-03,3.9,3.96,4.03,4.16,4.21
1965-05-04,3.88,3.94,4.03,4.14,4.2
1965-05-05,3.9,3.95,4.03,4.14,4.2
1965-05-06,3.89,3.95,4.03,4.14,4.2
1965-05-07,3.89,3.96,4.03,4.14,4.2
1965-05-10,3.88,3.95,4.03,4.15,4.2
1965-05-11,3.88,3.95,4.02,4.15,4.2
1965-05-12,3.9,3.96,4.02,4.16,4.2
1965-05-13,3.9,3.96,4.02,4.16,4.21
1965-05-14,3.9,3.96,4.02,4.15,4.21
1965-05-17,3.89,3.95,4.02,4.15,4.21
1965-05-18,3.89,3.95,4.03,4.15,4.22
1965-05-19,3.9,3.95,4.04,4.15,4.22
1965-05-20,3.9,3.95,4.04,4.15,4.22
1965-05-21,3.9,3.95,4.04,4.15,4.22
1965-05-24,3.88,3.94,4.04,4.15,4.22
1965-05-25,3.88,3.94,4.03,4.15,4.22
1965-05-26,3.89,3.94,4.03,4.14,4.22
1965-05-27,3.88,3.94,4.04,4.14,4.22
1965-05-28,3.87,3.94,4.04,4.15,4.23
1965-06-01,3.88,3.93,4.04,4.15,4.23
1965-06-02,3.87,3.93,4.04,4.16,4.23
1965-06-03,3.84,3.91,4.02,4.15,4.23
1965-06-04,3.81,3.89,4.03,4.15,4.23
1965-06-07,3.78,3.86,4.03,4.15,4.23
1965-06-08,3.81,3.89,4.03,4.16,4.23
1965-06-09,3.82,3.89,4.03,4.16,4.23
